Manufacturer,Digi-Key Part Number,Reference Designator,Packaging,Part Status,Quantity,Unit Price (USD),Extended Price (USD),Description,Manufacturer Part Number

Yageo,311-1.0KARCT-ND,R9,Cut Tape (CT),Active,1,0.10,0.10 ,RES SMD 1K OHM 5% 1/8W 0805,RC0805JR-071KL
Yageo,311-4.70KCRCT-ND,R6 R7 R8,Cut Tape (CT),Active,3,0.10,0.30 ,RES SMD 4.7K OHM 1% 1/8W 0805,RC0805FR-074K7L
Yageo,311-10.0KCRCT-ND,R1 R2 R3 R4,Cut Tape (CT),Active,4,0.10,0.40 ,RES SMD 10K OHM 1% 1/8W 0805,RC0805FR-0710KL
Yageo,311-100KARCT-ND,R5,Cut Tape (CT),Active,1,0.10,0.10 ,RES SMD 100K OHM 5% 1/8W 0805,RC0805JR-07100KL
Bourns Inc.,CAT16-102J4LFCT-ND,RN1,Cut Tape (CT),Active,1,0.10,0.10 ,RES ARRAY 4 RES 1K OHM 1206,CAT16-102J4LF
KEMET,399-1167-1-ND,C3 C5,Cut Tape (CT),Active,2,0.22,0.44 ,CAP CER 0.1UF 16V X7R 0805,C0805C104K4RACTU
Samsung Electro-Mechanics,1276-6471-1-ND,C2,Cut Tape (CT),Active,1,0.10,0.10 ,CAP CER 1UF 16V X7R 0805,CL21B105KOFNNNG
TDK Corporation,445-7705-1-ND,C1 C4,Cut Tape (CT),Active,2,0.80,1.60 ,CAP CER 10UF 25V X7R 1206,C3216X7R1E106K160AB
OSRAM Opto Semiconductors Inc.,475-1278-1-ND,D1 D2 D3 D4,Cut Tape (CT),Active,4,0.33,1.32 ,LED RED DIFFUSED 0805 SMD,LS R976-NR-1
Infineon Technologies,IRLR024NPBFCT-ND,Q1 Q2 Q3 Q4,Cut Tape (CT),Active,4,0.93,3.72 ,MOSFET N-CH 55V 17A DPAK,IRLR024NTRPBF
Cardinal Components Inc.,370-1057-1-ND,Y1,Cut Tape (CT),Active,1,0.62,0.62 ,CRYSTAL 32.7680KHZ 6PF SMD,CPFBZ-A2C4-32.768KD6
Microchip Technology,MCP1703T-3302E/CBCT-ND,U1,Cut Tape (CT),Active,1,0.56,0.56 ,IC REG LIN 3.3V 250MA SOT23A-3,MCP1703T-3302E/CB
Texas Instruments,296-31503-1-ND,U2,Cut Tape (CT),Active,1,0.43,0.43 ,IC BUFFER NON-INVERT 18 V 16SOIC,CD4050BDR
NXP USA Inc.,568-5306-1-ND,U3,Cut Tape (CT),Active,1,1.30,1.30 ,IC RTC CLK/CALENDAR I2C 8-SOIC,PCF8523T/1118
Recom Power,945-1648-5-ND,U4,Tube,Active,1,2.70,2.70 ,DC DC CONVERTER 5V 3W,R-78E5.0-0.5
Phoenix Contact,277-12154-ND,J1,Bulk,Active,1,0.87,0.87 ,TERM BLOCK 2POS 45DEG 3.5MM PCB,1862042
Phoenix Contact,277-1800-ND,J2 J3,Box,Active,3,1.09,3.27 ,TERM BLOCK 8POS 45DEG 2.5MM PCB,1990067
Molex,WM6698CT-ND,CON1,Cut Tape (CT),Active,1,1.16,1.16 ,CONN MICRO SD CARD HINGED TYPE,472192001
MPD (Memory Protection Devices),BK-916-CT-ND,BT1,Cut Tape (CT),Active,1,0.51,0.51 ,BATTERY RETAINER COIN 12MM SMD,BK-916-TR
Sullins Connector Solutions,S1211EC-40-ND,HEADER PINS,Bag,Active,1,0.75,0.75 ,CONN HEADER VERT 40POS 2.54MM,PRPC040SFAN-RC